Participant	Recording	Case	Stimul	Timestamp	Fixation_X	Fixation_Y	File	Right_eye_normalized	Left_eye_normalized
P2	Recording5	case_1	Top center	192650117	955.0	142.0	0.jpg	0_right_eye.jpg	0_left_eye.jpg
P2	Recording5	case_1	Bottom left	194186638	151.0	972.0	1.jpg	1_right_eye.jpg	1_left_eye.jpg
P2	Recording5	case_1	Top right	195679731	1748.0	180.0	2.jpg	2_right_eye.jpg	2_left_eye.jpg
P2	Recording5	case_1	Bottom center	197266136	942.0	985.0	3.jpg	3_right_eye.jpg	3_left_eye.jpg
P2	Recording5	case_1	Bottom right	198975859	1713.0	977.0	4.jpg	4_right_eye.jpg	4_left_eye.jpg
P2	Recording5	case_1	Middle right	200675572	1729.0	588.0	5.jpg	5_right_eye.jpg	5_left_eye.jpg
P2	Recording5	case_1	Middle left	202288654	146.0	578.0	6.jpg	6_right_eye.jpg	6_left_eye.jpg
P2	Recording5	case_1	Middle center	203955061	944.0	581.0	7.jpg	7_right_eye.jpg	7_left_eye.jpg
P2	Recording5	case_1	Top left	205328180	151.0	164.0	8.jpg	8_right_eye.jpg	8_left_eye.jpg
P2	Recording5	case_1	Middle right	207144461	1728.0	582.0	9.jpg	9_right_eye.jpg	9_left_eye.jpg
P2	Recording5	case_1	Bottom left	208680972	142.0	972.0	10.jpg	10_right_eye.jpg	10_left_eye.jpg
P2	Recording5	case_1	Top center	210370606	946.0	144.0	11.jpg	11_right_eye.jpg	11_left_eye.jpg
P2	Recording5	case_1	Bottom right	212056996	1707.0	966.0	12.jpg	12_right_eye.jpg	12_left_eye.jpg
P2	Recording5	case_1	Middle center	213640160	950.0	581.0	13.jpg	13_right_eye.jpg	13_left_eye.jpg
P2	Recording5	case_1	Middle left	215336416	143.0	583.0	14.jpg	14_right_eye.jpg	14_left_eye.jpg
P2	Recording5	case_1	Bottom center	216826289	946.0	983.0	15.jpg	15_right_eye.jpg	15_left_eye.jpg
P2	Recording5	case_1	Top left	218495902	154.0	171.0	16.jpg	16_right_eye.jpg	16_left_eye.jpg
P2	Recording5	case_1	Top right	219962432	1725.0	222.0	17.jpg	17_right_eye.jpg	17_left_eye.jpg
P2	Recording5	case_1	Bottom center	221178910	938.0	990.0	18.jpg	18_right_eye.jpg	18_left_eye.jpg
P2	Recording5	case_1	Top right	222751991	1731.0	180.0	19.jpg	19_right_eye.jpg	19_left_eye.jpg
P2	Recording5	case_1	Middle left	224294955	138.0	585.0	20.jpg	20_right_eye.jpg	20_left_eye.jpg
P2	Recording5	case_1	Middle right	225698190	1722.0	584.0	21.jpg	21_right_eye.jpg	21_left_eye.jpg
P2	Recording5	case_1	Top left	227034530	151.0	166.0	22.jpg	22_right_eye.jpg	22_left_eye.jpg
P2	Recording5	case_1	Bottom left	228619601			23.jpg	23_right_eye.jpg	23_left_eye.jpg
P2	Recording5	case_1	Bottom right	229737534	1713.0	976.0	24.jpg	24_right_eye.jpg	24_left_eye.jpg
P2	Recording5	case_1	Middle center	230930671	948.0	585.0	25.jpg	25_right_eye.jpg	25_left_eye.jpg
P2	Recording5	case_1	Top center	232120363	945.0	152.0	26.jpg	26_right_eye.jpg	26_left_eye.jpg
