Participant	Stimulus	Fixation_Index	Fixation_X	Fixation_Y	Timestamp	Duration
Participant_5	UXtweak	0	412.08	469.3	0.0	42978.72
Participant_5	UXtweak	1	239.81	179.58	128936.17	42978.72
Participant_5	UXtweak	2	549.06	803.36	386808.51	85957.45
Participant_5	UXtweak	3	311.07	807.91	601702.13	343829.79
Participant_5	UXtweak	4	293.13	857.85	1074468.09	214893.62
Participant_5	UXtweak	5	1367.46	779.09	1547234.04	42978.72
Participant_5	UXtweak	6	761.59	719.31	1676170.21	128936.17
Participant_5	UXtweak	7	356.82	750.25	2020000.0	343829.79
Participant_5	UXtweak	8	245.58	737.01	2492765.96	257872.34
Participant_5	UXtweak	9	1468.41	731.52	2965531.91	85957.45
Participant_5	UXtweak	10	1679.68	638.67	3137446.81	171914.89
Participant_5	UXtweak	11	372.19	867.97	3481276.6	300851.06
Participant_5	UXtweak	12	325.15	901.58	3911063.83	85957.45
Participant_5	UXtweak	13	1454.5	681.79	4383829.79	42978.72
Participant_5	UXtweak	14	494.29	891.5	4555744.68	171914.89
Participant_5	UXtweak	15	885.35	821.62	4942553.19	214893.62
Participant_5	UXtweak	16	974.36	724.45	5372340.43	85957.45
Participant_5	UXtweak	17	1333.17	195.2	5630212.77	85957.45
Participant_5	UXtweak	18	1551.41	188.35	5845106.38	214893.62
Participant_5	UXtweak	19	1091.14	106.32	6145957.45	42978.72
Participant_5	UXtweak	20	1037.25	102.51	6317872.34	128936.17
Participant_5	UXtweak	21	237.98	759.16	6833617.02	257872.34
Participant_5	UXtweak	22	200.12	183.8	7306382.98	214893.62
Participant_5	UXtweak	23	607.85	95.74	7607234.04	42978.72
Participant_5	UXtweak	24	1530.2	190.71	7908085.11	214893.62
Participant_5	UXtweak	25	1622.14	208.76	8251914.89	257872.34
Participant_5	UXtweak	26	962.2	89.77	8724680.85	343829.79
Participant_5	UXtweak	27	1107.94	99.34	9197446.81	42978.72
Participant_5	UXtweak	28	294.61	341.04	9326382.98	257872.34
Participant_5	UXtweak	29	168.53	212.99	9670212.77	386808.51
Participant_5	NetworkingAcademy	0	439.3	500.42	120238.1	120238.1
Participant_5	NetworkingAcademy	1	587.72	367.81	320634.92	120238.1
Participant_5	NetworkingAcademy	2	228.65	519.53	561111.11	320634.92
Participant_5	NetworkingAcademy	3	487.54	412.89	1082142.86	240476.19
Participant_5	NetworkingAcademy	4	571.91	384.17	1442857.14	280555.56
Participant_5	NetworkingAcademy	5	210.53	536.48	1883730.16	320634.92
Participant_5	NetworkingAcademy	6	289.62	534.8	2324603.17	320634.92
Participant_5	NetworkingAcademy	7	381.1	510.42	2765476.19	320634.92
Participant_5	NetworkingAcademy	8	324.83	557.86	3206349.21	320634.92
Participant_5	NetworkingAcademy	9	173.32	486.25	3647222.22	320634.92
Participant_5	NetworkingAcademy	10	274.26	328.43	4088095.24	320634.92
Participant_5	NetworkingAcademy	11	491.35	290.77	4569047.62	320634.92
Participant_5	NetworkingAcademy	12	179.21	432.73	5050000.0	280555.56
Participant_5	NetworkingAcademy	13	184.56	494.03	5450793.65	320634.92
Participant_5	NetworkingAcademy	14	234.39	450.43	5891666.67	320634.92
Participant_5	NetworkingAcademy	15	356.42	430.32	6332539.68	320634.92
Participant_5	NetworkingAcademy	16	144.97	367.89	6853571.43	80158.73
Participant_5	NetworkingAcademy	17	165.22	445.33	7053968.25	320634.92
Participant_5	NetworkingAcademy	18	227.0	442.25	7494841.27	240476.19
Participant_5	NetworkingAcademy	19	522.59	339.63	7935714.29	280555.56
Participant_5	NetworkingAcademy	20	1446.78	143.42	8376587.3	320634.92
Participant_5	NetworkingAcademy	21	1301.94	116.36	8817460.32	120238.1
Participant_5	NetworkingAcademy	22	1585.74	277.46	9017857.14	120238.1
Participant_5	NetworkingAcademy	23	1529.35	244.97	9258333.33	200396.83
Participant_5	NetworkingAcademy	24	323.96	551.61	9699206.35	360714.29
Participant_5	SportsHere	0	209.98	242.49	0.0	41393.44
Participant_5	SportsHere	1	474.92	251.99	124180.33	331147.54
Participant_5	SportsHere	2	551.64	414.51	579508.2	82786.89
Participant_5	SportsHere	3	982.03	740.65	745081.97	165573.77
Participant_5	SportsHere	4	867.3	702.46	1034836.07	41393.44
Participant_5	SportsHere	5	776.13	900.18	1159016.39	206967.21
Participant_5	SportsHere	6	732.0	867.09	1490163.93	41393.44
Participant_5	SportsHere	7	1558.83	354.63	1655737.7	165573.77
Participant_5	SportsHere	8	708.44	95.15	1986885.25	124180.33
Participant_5	SportsHere	9	500.42	77.87	2193852.46	82786.89
Participant_5	SportsHere	10	144.54	98.46	2483606.56	165573.77
Participant_5	SportsHere	11	1590.04	108.75	2897540.98	289754.1
Participant_5	SportsHere	12	1666.71	103.46	3311475.41	331147.54
Participant_5	SportsHere	13	1564.64	104.84	3766803.28	41393.44
Participant_5	SportsHere	14	681.8	46.72	3932377.05	165573.77
Participant_5	SportsHere	15	499.88	56.05	4222131.15	41393.44
Participant_5	SportsHere	16	285.55	390.91	4346311.48	165573.77
Participant_5	SportsHere	17	816.08	733.73	4718852.46	248360.66
Participant_5	SportsHere	18	214.48	406.37	5174180.33	331147.54
Participant_5	SportsHere	19	309.25	415.77	5629508.2	124180.33
Participant_5	SportsHere	20	455.1	400.88	5836475.41	124180.33
Participant_5	SportsHere	21	474.85	459.15	6084836.07	620901.64
Participant_5	SportsHere	22	981.73	667.79	6788524.59	41393.44
Participant_5	SportsHere	23	985.95	736.1	6954098.36	331147.54
Participant_5	SportsHere	24	962.16	802.65	7409426.23	289754.1
Participant_5	SportsHere	25	1122.17	697.17	7864754.1	82786.89
Participant_5	SportsHere	26	1541.89	401.21	8030327.87	165573.77
Participant_5	SportsHere	27	1593.57	286.11	8320081.97	331147.54
Participant_5	SportsHere	28	1640.64	134.06	8775409.84	82786.89
Participant_5	SportsHere	29	613.61	91.66	8982377.05	82786.89
Participant_5	SportsHere	30	209.93	329.66	9230737.7	331147.54
Participant_5	SportsHere	31	218.75	348.4	9686065.57	372540.98
Participant_5	CodeHub	0	192.86	170.13	0.0	41224.49
Participant_5	CodeHub	1	285.97	673.75	123673.47	247346.94
Participant_5	CodeHub	2	485.91	631.26	577142.86	329795.92
Participant_5	CodeHub	3	542.94	555.3	1030612.24	247346.94
Participant_5	CodeHub	4	282.4	611.08	1484081.63	329795.92
Participant_5	CodeHub	5	458.81	696.53	1937551.02	329795.92
Participant_5	CodeHub	6	676.03	612.01	2391020.41	329795.92
Participant_5	CodeHub	7	285.2	724.17	2844489.8	329795.92
Participant_5	CodeHub	8	484.94	819.97	3297959.18	329795.92
Participant_5	CodeHub	9	591.34	803.94	3751428.57	247346.94
Participant_5	CodeHub	10	284.97	777.35	4204897.96	329795.92
Participant_5	CodeHub	11	434.8	800.58	4699591.84	329795.92
Participant_5	CodeHub	12	512.05	808.02	5153061.22	329795.92
Participant_5	CodeHub	13	593.18	797.75	5606530.61	329795.92
Participant_5	CodeHub	14	521.25	161.62	6142448.98	123673.47
Participant_5	CodeHub	15	682.84	559.32	6513469.39	123673.47
Participant_5	CodeHub	16	1604.79	799.75	6719591.84	123673.47
Participant_5	CodeHub	17	1641.57	700.91	7008163.27	206122.45
Participant_5	CodeHub	18	581.95	923.57	7420408.16	329795.92
Participant_5	CodeHub	19	664.45	852.05	7873877.55	82448.98
Participant_5	CodeHub	20	318.02	799.24	8162448.98	41224.49
Participant_5	CodeHub	21	642.74	904.05	8327346.94	329795.92
Participant_5	CodeHub	22	635.54	886.53	8780816.33	329795.92
Participant_5	CodeHub	23	682.37	908.04	9234285.71	329795.92
Participant_5	CodeHub	24	256.96	667.57	9728979.59	329795.92
Participant_5	RunTrack	0	263.59	372.99	0.0	41224.49
Participant_5	RunTrack	1	362.29	608.37	123673.47	329795.92
Participant_5	RunTrack	2	349.82	593.63	577142.86	329795.92
Participant_5	RunTrack	3	413.34	588.03	1030612.24	329795.92
Participant_5	RunTrack	4	443.59	577.65	1484081.63	329795.92
Participant_5	RunTrack	5	435.83	582.85	1937551.02	329795.92
Participant_5	RunTrack	6	317.97	578.53	2391020.41	329795.92
Participant_5	RunTrack	7	224.16	594.93	2844489.8	329795.92
Participant_5	RunTrack	8	355.84	633.06	3297959.18	123673.47
Participant_5	RunTrack	9	670.41	796.27	3586530.61	41224.49
Participant_5	RunTrack	10	485.24	571.62	3751428.57	329795.92
Participant_5	RunTrack	11	508.19	541.72	4204897.96	329795.92
Participant_5	RunTrack	12	492.85	547.26	4699591.84	329795.92
Participant_5	RunTrack	13	432.61	603.16	5153061.22	329795.92
Participant_5	RunTrack	14	291.92	630.16	5606530.61	329795.92
Participant_5	RunTrack	15	339.96	583.51	6060000.0	329795.92
Participant_5	RunTrack	16	400.13	623.49	6513469.39	123673.47
Participant_5	RunTrack	17	1815.31	376.06	6719591.84	123673.47
Participant_5	RunTrack	18	283.04	494.05	7049387.76	247346.94
Participant_5	RunTrack	19	294.57	552.31	7420408.16	329795.92
Participant_5	RunTrack	20	362.49	564.29	7873877.55	329795.92
Participant_5	RunTrack	21	521.41	532.48	8327346.94	329795.92
Participant_5	RunTrack	22	535.63	531.24	8780816.33	329795.92
Participant_5	RunTrack	23	606.39	468.2	9234285.71	247346.94
Participant_5	RunTrack	24	245.77	607.03	9687755.1	371020.41
Participant_5	Listenify	0	165.63	117.8	0.0	41224.49
Participant_5	Listenify	1	1019.63	929.7	123673.47	329795.92
Participant_5	Listenify	2	1121.0	970.3	577142.86	329795.92
Participant_5	Listenify	3	1133.82	948.03	1030612.24	247346.94
Participant_5	Listenify	4	1290.78	964.31	1484081.63	329795.92
Participant_5	Listenify	5	1337.93	931.75	1937551.02	329795.92
Participant_5	Listenify	6	1376.87	929.2	2391020.41	329795.92
Participant_5	Listenify	7	1501.31	911.84	2844489.8	123673.47
Participant_5	Listenify	8	1220.99	982.78	3133061.22	41224.49
Participant_5	Listenify	9	1132.45	987.19	3297959.18	329795.92
Participant_5	Listenify	10	1131.33	987.22	3751428.57	329795.92
Participant_5	Listenify	11	1116.97	986.27	4204897.96	329795.92
Participant_5	Listenify	12	1114.06	979.8	4699591.84	41224.49
Participant_5	Listenify	13	809.42	990.46	4823265.31	206122.45
Participant_5	Listenify	14	819.17	965.78	5153061.22	329795.92
Participant_5	Listenify	15	922.94	964.51	5606530.61	329795.92
Participant_5	Listenify	16	562.43	601.32	6183673.47	41224.49
Participant_5	Listenify	17	248.48	148.66	6307346.94	329795.92
Participant_5	Listenify	18	950.93	82.74	6760816.33	82448.98
Participant_5	Listenify	19	932.25	97.18	6966938.78	206122.45
Participant_5	Listenify	20	1285.23	98.55	7255510.2	41224.49
Participant_5	Listenify	21	1286.86	101.14	7420408.16	329795.92
Participant_5	Listenify	22	644.9	681.95	7915102.04	164897.96
Participant_5	Listenify	23	831.06	510.4	8327346.94	329795.92
Participant_5	Listenify	24	903.59	598.52	8780816.33	206122.45
Participant_5	Listenify	25	811.29	917.82	9234285.71	329795.92
Participant_5	Listenify	26	928.27	951.44	9687755.1	371020.41
Participant_6	UXtweak	0	1452.15	914.76	199604.74	239525.69
Participant_6	UXtweak	1	1660.5	926.91	558893.28	39920.95
Participant_6	UXtweak	2	1212.36	1012.99	678656.13	199604.74
Participant_6	UXtweak	3	270.54	1067.19	1037944.66	958102.77
Participant_6	UXtweak	4	343.0	572.03	2395256.92	39920.95
Participant_6	UXtweak	5	179.51	511.7	2515019.76	119762.85
Participant_6	UXtweak	6	165.74	515.46	2754545.45	359288.54
Participant_6	UXtweak	7	391.77	520.75	3193675.89	678656.13
Participant_6	UXtweak	8	726.84	504.56	4071936.76	319367.59
Participant_6	UXtweak	9	849.66	539.55	4550988.14	279446.64
Participant_6	UXtweak	10	1152.65	520.31	4990118.58	79841.9
Participant_6	UXtweak	11	1653.54	579.07	5149802.37	159683.79
Participant_6	UXtweak	12	1583.38	477.18	5429249.01	79841.9
Participant_6	UXtweak	13	1190.55	1060.29	5588932.81	159683.79
Participant_6	UXtweak	14	1136.03	1064.96	5868379.45	319367.59
Participant_6	UXtweak	15	1107.03	1068.06	6307509.88	319367.59
Participant_6	UXtweak	16	396.08	481.1	6866403.16	79841.9
Participant_6	UXtweak	17	395.97	484.69	7066007.91	319367.59
Participant_6	UXtweak	18	370.7	483.24	7505138.34	199604.74
Participant_6	UXtweak	19	793.04	564.51	7784584.98	39920.95
Participant_6	UXtweak	20	736.79	479.16	7944268.77	319367.59
Participant_6	UXtweak	21	912.19	476.62	8463241.11	239525.69
Participant_6	UXtweak	22	917.64	504.03	8822529.64	319367.59
Participant_6	UXtweak	23	1053.88	507.26	9261660.08	159683.79
Participant_6	UXtweak	24	1543.68	466.59	9501185.77	79841.9
Participant_6	UXtweak	25	1684.54	460.64	9700790.51	359288.54
Participant_6	SportsHere	0	103.94	511.17	0.0	41908.71
Participant_6	SportsHere	1	1201.74	1069.26	125726.14	335269.71
Participant_6	SportsHere	2	1449.3	1064.94	586721.99	209543.57
Participant_6	SportsHere	3	1607.47	601.72	880082.99	41908.71
Participant_6	SportsHere	4	1600.88	665.13	1047717.84	335269.71
Participant_6	SportsHere	5	1746.03	488.76	1508713.69	335269.71
Participant_6	SportsHere	6	1513.28	654.13	1969709.54	293361.0
Participant_6	SportsHere	7	327.21	710.33	2430705.39	586721.99
Participant_6	SportsHere	8	563.79	693.59	3101244.81	83817.43
Participant_6	SportsHere	9	516.75	960.89	3352697.1	293361.0
Participant_6	SportsHere	10	242.07	917.42	3813692.95	209543.57
Participant_6	SportsHere	11	612.34	995.39	4107053.94	41908.71
Participant_6	SportsHere	12	171.23	834.58	4358506.22	251452.28
Participant_6	SportsHere	13	148.4	796.76	4777593.36	41908.71
Participant_6	SportsHere	14	108.12	457.43	4903319.5	209543.57
Participant_6	SportsHere	15	107.61	435.23	5238589.21	251452.28
Participant_6	SportsHere	16	784.3	587.96	5699585.06	335269.71
Participant_6	SportsHere	17	910.88	609.14	6160580.91	251452.28
Participant_6	SportsHere	18	286.91	797.98	6705394.19	83817.43
Participant_6	SportsHere	19	198.91	784.93	6914937.76	83817.43
Participant_6	SportsHere	20	159.9	515.65	7082572.61	502904.56
Participant_6	SportsHere	21	716.72	510.84	7669294.61	41908.71
Participant_6	SportsHere	22	817.51	506.17	7836929.46	41908.71
