Participant	Stimulus	Stimulus_Start	Duration
Participant_5	UXtweak	00:01:52.289	00:00:10.110
Participant_5	NetworkingAcademy	00:02:38.973	00:00:10.093
Participant_5	SportsHere	00:03:45.659	00:00:10.093
Participant_5	CodeHub	00:04:28.662	00:00:10.110
Participant_5	RunTrack	00:05:24.656	00:00:10.110
Participant_5	Listenify	00:06:22.665	00:00:10.110
Participant_6	UXtweak	00:01:06.983	00:00:10.110
Participant_6	SportsHere	00:01:59.513	00:00:10.110
Participant_6	CodeHub	00:02:51.593	00:00:10.093
Participant_6	NetworkingAcademy	00:03:48.586	00:00:10.110
Participant_6	RunTrack	00:04:34.570	00:00:10.093
Participant_6	Listenify	00:05:20.854	00:00:10.110
Participant_7	UXtweak	00:01:23.792	00:00:10.110
Participant_7	RunTrack	00:02:29.479	00:00:10.110
Participant_7	Listenify	00:03:36.248	00:00:10.093
Participant_7	SportsHere	00:04:39.587	00:00:10.110
Participant_7	NetworkingAcademy	00:05:43.292	00:00:10.110
Participant_7	CodeHub	00:06:44.249	00:00:10.093
Participant_8	UXtweak	00:01:03.454	00:00:10.093
Participant_8	Listenify	00:01:52.669	00:00:10.093
Participant_8	SportsHere	00:02:33.274	00:00:10.110
Participant_8	NetworkingAcademy	00:03:24.871	00:00:10.110
Participant_8	RunTrack	00:04:21.464	00:00:10.093
Participant_8	CodeHub	00:05:03.951	00:00:10.110
Participant_9	UXtweak	00:02:13.481	00:00:10.093
Participant_9	RunTrack	00:03:20.401	00:00:10.093
Participant_9	Listenify	00:04:41.710	00:00:10.110
Participant_9	SportsHere	00:05:51.944	00:00:10.110
Participant_9	CodeHub	00:06:58.663	00:00:10.110
Participant_9	NetworkingAcademy	00:07:51.043	00:00:10.110
Participant_10	UXtweak	00:02:20.658	00:00:10.110
Participant_10	Listenify	00:03:03.945	00:00:10.110
Participant_10	CodeHub	00:03:47.014	00:00:10.110
Participant_10	RunTrack	00:04:28.585	00:00:10.110
Participant_10	NetworkingAcademy	00:05:16.085	00:00:10.093
Participant_10	SportsHere	00:06:05.616	00:00:10.093
Participant_11	UXtweak	00:01:16.597	00:00:10.093
Participant_11	RunTrack	00:02:17.937	00:00:10.093
Participant_11	SportsHere	00:03:20.076	00:00:10.093
Participant_11	Listenify	00:04:17.836	00:00:10.093
Participant_11	CodeHub	00:05:25.121	00:00:10.110
Participant_11	NetworkingAcademy	00:06:16.918	00:00:10.110
Participant_12	UXtweak	00:02:01.640	00:00:10.110
Participant_12	RunTrack	00:02:47.574	00:00:10.093
Participant_12	SportsHere	00:03:26.996	00:00:10.110
Participant_12	Listenify	00:04:13.347	00:00:10.093
Participant_12	CodeHub	00:04:56.233	00:00:10.110
Participant_12	NetworkingAcademy	00:05:29.543	00:00:10.093
Participant_13	UXtweak	00:01:26.057	00:00:10.110
Participant_13	NetworkingAcademy	00:02:50.764	00:00:10.110
Participant_13	Listenify	00:03:46.075	00:00:10.093
Participant_13	SportsHere	00:04:48.648	00:00:10.110
Participant_13	CodeHub	00:06:01.463	00:00:10.093
Participant_13	RunTrack	00:06:53.993	00:00:10.093
Participant_14	UXtweak	00:01:23.450	00:00:10.110
Participant_14	NetworkingAcademy	00:02:04.021	00:00:10.093
Participant_14	SportsHere	00:02:52.570	00:00:10.093
Participant_14	RunTrack	00:03:33.175	00:00:10.093
Participant_14	Listenify	00:04:13.230	00:00:10.110
Participant_14	CodeHub	00:05:02.095	00:00:10.110
Participant_15	UXtweak	00:01:26.007	00:00:10.093
Participant_15	Listenify	00:02:03.664	00:00:10.110
Participant_15	SportsHere	00:02:40.238	00:00:10.093
Participant_15	CodeHub	00:03:26.289	00:00:10.110
Participant_15	RunTrack	00:04:15.138	00:00:10.093
Participant_15	NetworkingAcademy	00:05:05.419	00:00:10.110
Participant_16	UXtweak	00:02:04.397	00:00:10.110
Participant_16	NetworkingAcademy	00:03:02.373	00:00:10.110
Participant_16	CodeHub	00:04:13.656	00:00:10.093
Participant_16	Listenify	00:05:02.804	00:00:10.093
Participant_16	SportsHere	00:06:34.157	00:00:10.110
Participant_16	RunTrack	00:07:29.218	00:00:10.093
